ISO3,date,price
GBR,2023-12-16,73.81
DEU,2023-12-17,51.96
GBR,2023-12-17,56.55
DEU,2023-12-18,77.29
GBR,2023-12-18,80.1
DEU,2023-12-19,76.25
GBR,2023-12-19,77.33
DEU,2023-12-20,59.36
GBR,2023-12-20,66.27
DEU,2023-12-21,26.89
GBR,2023-12-21,49.7
DEU,2023-12-22,20.34
GBR,2023-12-22,43.44
DEU,2023-12-23,29.03
GBR,2023-12-23,29.73
DEU,2023-12-24,-5.08
GBR,2023-12-24,4.5
DEU,2023-12-25,-0.6
GBR,2023-12-25,28.67
DEU,2023-12-26,18.25
GBR,2023-12-26,62.06
DEU,2023-12-27,59.28
GBR,2023-12-27,63.32
DEU,2023-12-28,20.27
GBR,2023-12-28,38.13
DEU,2023-12-29,6.92
GBR,2023-12-29,47.09
DEU,2023-12-30,33.49
GBR,2023-12-30,72.49
DEU,2023-12-31,8.16
GBR,2023-12-31,71.84
DEU,2024-01-01,14.71
GBR,2024-01-01,56.15
DEU,2024-01-02,55.77
GBR,2024-01-02,64.83
DEU,2024-01-03,45.42
GBR,2024-01-03,81.08
DEU,2024-01-04,85.26
GBR,2024-01-04,93.16
DEU,2024-01-05,92.17
GBR,2024-01-05,96.25
DEU,2024-01-06,87.23
GBR,2024-01-06,95.63
DEU,2024-01-07,84.66
GBR,2024-01-07,97.12
DEU,2024-01-08,102.22
GBR,2024-01-08,103.33
DEU,2024-01-09,111.24
GBR,2024-01-09,104.39
DEU,2024-01-10,113.49
GBR,2024-01-10,107.77
DEU,2024-01-11,109.39
GBR,2024-01-11,104.79
DEU,2024-01-12,105.0
GBR,2024-01-12,102.9
DEU,2024-01-13,73.44
GBR,2024-01-13,89.44
DEU,2024-01-14,71.34
GBR,2024-01-14,86.44
DEU,2024-01-15,87.45
GBR,2024-01-15,90.9
DEU,2024-01-16,99.94
GBR,2024-01-16,97.81
DEU,2024-01-17,99.76
GBR,2024-01-17,100.75
DEU,2024-01-18,92.87
GBR,2024-01-18,87.56
DEU,2024-01-19,79.41
GBR,2024-01-19,82.12
DEU,2024-01-20,72.61
GBR,2024-01-20,76.92
DEU,2024-01-21,45.92
GBR,2024-01-21,66.57
DEU,2024-01-22,45.12
GBR,2024-01-22,63.72
DEU,2024-01-23,53.3
GBR,2024-01-23,68.11
DEU,2024-01-24,39.44
GBR,2024-01-24,61.44
DEU,2024-01-25,77.99
GBR,2024-01-25,78.79
DEU,2024-01-26,60.93
GBR,2024-01-26,70.59
DEU,2024-01-27,67.5
GBR,2024-01-27,71.93
DEU,2024-01-28,60.4
GBR,2024-01-28,62.79
DEU,2024-01-29,77.9
GBR,2024-01-29,84.26
DEU,2024-01-30,77.93
GBR,2024-01-30,81.68
DEU,2024-01-31,73.35
GBR,2024-01-31,73.65
DEU,2024-02-01,70.7
GBR,2024-02-01,76.46
DEU,2024-02-02,61.44
GBR,2024-02-02,67.99
DEU,2024-02-03,34.73
GBR,2024-02-03,50.65
DEU,2024-02-04,11.64
GBR,2024-02-04,36.7
DEU,2024-02-05,45.89
GBR,2024-02-05,61.61
DEU,2024-02-06,44.3
GBR,2024-02-06,67.38
DEU,2024-02-07,79.21
GBR,2024-02-07,88.22
DEU,2024-02-08,89.28
GBR,2024-02-08,80.81
DEU,2024-02-09,70.86
GBR,2024-02-09,70.56
DEU,2024-02-10,70.85
GBR,2024-02-10,80.79
DEU,2024-02-11,60.78
GBR,2024-02-11,79.98
DEU,2024-02-12,73.12
GBR,2024-02-12,76.42
DEU,2024-02-13,72.65
GBR,2024-02-13,75.97
DEU,2024-02-14,69.08
GBR,2024-02-14,75.7
DEU,2024-02-15,71.0
GBR,2024-02-15,72.72
DEU,2024-02-16,61.33
GBR,2024-02-16,72.18
DEU,2024-02-17,66.83
GBR,2024-02-17,70.34
DEU,2024-02-18,53.84
GBR,2024-02-18,66.42
DEU,2024-02-19,65.42
GBR,2024-02-19,67.09
DEU,2024-02-20,63.11
GBR,2024-02-20,66.99
DEU,2024-02-21,56.31
GBR,2024-02-21,60.79
DEU,2024-02-22,48.68
GBR,2024-02-22,62.49
DEU,2024-02-23,44.01
GBR,2024-02-23,67.31
DEU,2024-02-24,57.64
GBR,2024-02-24,70.32
DEU,2024-02-25,58.14
GBR,2024-02-25,71.02
DEU,2024-02-26,65.44
GBR,2024-02-26,68.95
DEU,2024-02-27,74.88
GBR,2024-02-27,71.63
DEU,2024-02-28,71.7
GBR,2024-02-28,69.55
DEU,2024-02-29,62.88
GBR,2024-02-29,68.98
DEU,2024-03-01,69.71
GBR,2024-03-01,73.84
DEU,2024-03-02,62.73
GBR,2024-03-02,75.05
DEU,2024-03-03,59.68
GBR,2024-03-03,78.32
DEU,2024-03-04,76.02
GBR,2024-03-04,77.92
DEU,2024-03-05,74.7
GBR,2024-03-05,76.07
DEU,2024-03-06,82.95
GBR,2024-03-06,82.55
DEU,2024-03-07,75.45
GBR,2024-03-07,79.75
DEU,2024-03-08,61.64
GBR,2024-03-08,71.5
DEU,2024-03-09,45.31
GBR,2024-03-09,58.63
DEU,2024-03-10,39.62
GBR,2024-03-10,63.97
DEU,2024-03-11,73.52
GBR,2024-03-11,81.63
DEU,2024-03-12,83.88
GBR,2024-03-12,77.33
DEU,2024-03-13,72.27
GBR,2024-03-13,68.93
DEU,2024-03-14,66.4
GBR,2024-03-14,70.08
DEU,2024-03-15,55.37
GBR,2024-03-15,68.7
DEU,2024-03-16,48.34
GBR,2024-03-16,75.41
DEU,2024-03-17,60.13
GBR,2024-03-17,72.09
DEU,2024-03-18,79.37
GBR,2024-03-18,79.03
DEU,2024-03-19,82.32
GBR,2024-03-19,80.96
DEU,2024-03-20,90.54
GBR,2024-03-20,89.82
DEU,2024-03-21,80.09
GBR,2024-03-21,77.78
DEU,2024-03-22,67.36
GBR,2024-03-22,60.86
DEU,2024-03-23,32.55
GBR,2024-03-23,12.3
DEU,2024-03-24,22.18
GBR,2024-03-24,45.43
DEU,2024-03-25,79.14
GBR,2024-03-25,83.24
DEU,2024-03-26,65.97
GBR,2024-03-26,82.79
DEU,2024-03-27,75.14
GBR,2024-03-27,72.78
DEU,2024-03-28,49.61
GBR,2024-03-28,70.19
DEU,2024-03-29,37.17
GBR,2024-03-29,70.93
DEU,2024-03-30,46.56
GBR,2024-03-30,80.42
DEU,2024-03-31,43.0
GBR,2024-03-31,75.85
DEU,2024-04-01,23.65
GBR,2024-04-01,72.55
GBR,2024-04-01,52.53
DEU,2024-04-02,38.7
GBR,2024-04-02,79.1
DEU,2024-04-03,81.57
GBR,2024-04-03,68.81
DEU,2024-04-04,64.11
GBR,2024-04-04,71.45
DEU,2024-04-05,47.3
GBR,2024-04-05,48.13
DEU,2024-04-06,25.12
GBR,2024-04-06,6.05
DEU,2024-04-07,24.1
